model,tuning_trials,note,roc_auc,gini,ks_statistic,f1,precision,recall,accuracy,log_loss
LightGBM,50,"fully tuned, this notebook's main model",0.7283488435670501,0.4566976871341002,0.3406875119200969,0.8351303665947853,0.9218498825275133,0.763323606204884,0.7381926532064396,0.5466922061918248
CatBoost,50,equal-budget comparison,0.7309934775865078,0.4619869551730156,0.343768459842781,0.8055346494529034,0.9267967761273563,0.7123329749654431,0.7012363248243352,0.5839714116840686
XGBoost,50,equal-budget comparison,0.7293466773578916,0.4586933547157832,0.345687169606034,0.8153260215915924,0.9251364699766051,0.7288178979163467,0.713199324023837,0.5742860436439514
